month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2019-07,A00,Amar Gambit,2000,1,1,0,0,0,0,0,0
2019-07,A00,Amar Opening: Paris Gambit,800,2,2,0,0,0,2,2,0
2019-07,A00,Amar Opening: Paris Gambit,1000,2,0,2,0,2,1,0,1
2019-07,A00,Amar Opening: Paris Gambit,1200,3,2,1,1,0,3,2,1
2019-07,A00,Amar Opening: Paris Gambit,1400,3,1,1,1,0,2,0,1
2019-07,A00,Amar Opening: Paris Gambit,1600,2,1,1,0,0,1,0,1
2019-07,A00,Amar Opening: Paris Gambit,1800,3,1,2,0,0,3,1,2
2019-07,A00,Amar Opening: Paris Gambit,2000,3,2,1,0,0,1,0,1
2019-07,A00,Amsterdam Attack,800,1,0,1,0,0,1,0,1
2019-07,A00,Amsterdam Attack,1000,11,5,5,1,0,10,5,4
2019-07,A00,Amsterdam Attack,1200,7,2,5,0,1,7,2,5
2019-07,A00,Amsterdam Attack,1400,7,2,4,0,0,7,2,4
2019-07,A00,Amsterdam Attack,1600,6,1,5,0,0,3,1,2
2019-07,A00,Amsterdam Attack,1800,7,4,3,0,1,5,3,2
2019-07,A00,Amsterdam Attack,2000,2,0,2,0,0,1,0,1
2019-07,A00,Anderssen Opening,600,72,13,58,6,49,19,9,9
2019-07,A00,Anderssen Opening,800,324,143,166,30,51,200,87,100
2019-07,A00,Anderssen Opening,1000,993,486,466,74,92,797,392,371
2019-07,A00,Anderssen Opening,1200,2039,892,1084,127,194,1657,759,847
2019-07,A00,Anderssen Opening,1400,2576,1072,1429,154,284,1817,869,892
2019-07,A00,Anderssen Opening,1600,2127,985,1075,126,192,1586,793,738
2019-07,A00,Anderssen Opening,1800,1317,718,535,68,63,807,421,341
2019-07,A00,Anderssen Opening,2000,1863,885,849,108,91,1248,570,579
2019-07,A00,Anderssen Opening,2200,272,123,132,10,9,143,65,69
2019-07,A00,Anderssen Opening,2400,52,21,30,2,4,36,14,21
2019-07,A00,Anderssen Opening: Polish Gambit,800,1,1,0,0,0,0,0,0
2019-07,A00,Anderssen Opening: Polish Gambit,1000,3,0,3,0,2,1,0,1
2019-07,A00,Anderssen Opening: Polish Gambit,1200,6,2,4,1,1,5,2,3
2019-07,A00,Anderssen Opening: Polish Gambit,1400,12,5,6,0,0,8,2,5
2019-07,A00,Anderssen Opening: Polish Gambit,1600,6,3,3,0,2,5,3,2
2019-07,A00,Anderssen Opening: Polish Gambit,1800,5,1,4,0,2,3,1,2
