opening,eco,n2019,share2019,white_short_rate,black_short_rate,weapon_side,trickiness,soundness,low_winrate,punish_gap,surprise
Alekhine Defense,B02,357990,0.0017337163468326697,0.10531579094388112,0.08165870555043436,white,0.10531579094388112,0.4741802668783174,0.5126041910103607,0.03842392413204332,6.357487997146451
Alekhine Defense #2,B03,88174,0.0004270194842471125,0.1007099598521106,0.05916710141311498,white,0.1007099598521106,0.5016355904481518,0.540597223609308,0.038961633161156195,7.758680915221393
Alekhine Defense #3,B03,22186,0.00010744498692932654,0.07044983322816191,0.08311547822951411,black,0.08311547822951411,0.4862979571499751,0.44825174825174824,-0.03804620889822685,9.138531590879657
Alekhine Defense: Balogh Variation,B03,24166,0.00011703396529947287,0.08855416701150376,0.07187784490606637,white,0.08855416701150376,0.5256081946222791,0.4953943580886586,-0.03021383653362053,9.053046363591008
Alekhine Defense: Brooklyn Variation,B02,44443,0.0002152338210628351,0.10165830389487658,0.048444074432419056,white,0.10165830389487658,0.49375,0.5416582610449869,0.04790826104498691,8.443785580952499
Alekhine Defense: Exchange Variation,B03,138688,0.0006716546627266943,0.041979118597138904,0.05181414397784956,black,0.05181414397784956,0.4687212208919879,0.45186136071887034,-0.01685986017311758,7.305766244282231
Alekhine Defense: Four Pawns Attack,B03,30747,0.00014890521108428754,0.06745373532377143,0.07818648973883631,black,0.07818648973883631,0.5034203192297948,0.443217665615142,-0.060202653614652823,8.812200621678588
"Alekhine Defense: Four Pawns Attack, 6...Nc6",B03,18260,8.843168941357174e-05,0.04879518072289157,0.13795180722891567,black,0.13795180722891567,0.604,0.4861111111111111,-0.11788888888888888,9.333280175029302
"Alekhine Defense: Four Pawns Attack, Fianchetto Variation",B03,15246,7.383513345012676e-05,0.0444706808343172,0.06342647251738161,black,0.06342647251738161,0.48135964912280704,0.528169014084507,0.04680936496169996,9.513675876630042
"Alekhine Defense: Four Pawns Attack, Main Line",B03,12083,5.8516982649736436e-05,0.04758751965571464,0.07390548704791856,black,0.07390548704791856,0.49396621078037006,0.4,-0.09396621078037004,9.746193544150954
"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",B03,9565,4.6322514197196806e-05,0.06450601150026138,0.07307893361212754,black,0.07307893361212754,0.4885608856088561,0.46564885496183206,-0.022912030647024018,9.97988244730391
"Alekhine Defense: Hunt Variation, Lasker Simul Gambit",B02,7353,3.5609978765497975e-05,0.093703250373997,0.0484156126750986,white,0.093703250373997,0.5218612113918973,0.47157190635451507,-0.05028930503738227,10.242884656982039
Alekhine Defense: John Tracy Gambit,B02,134242,0.0006501230476591838,0.09750301693955692,0.1146213554625229,black,0.1146213554625229,0.5304029304029304,0.4926464774254764,-0.037756452977454,7.338348908899298
Alekhine Defense: Krejcik Variation,B02,43575,0.00021103016791875075,0.12800917957544464,0.11026965002868618,white,0.12800917957544464,0.44063324538258575,0.48012976480129765,0.039496519418711906,8.46350945879004
"Alekhine Defense: Krejcik Variation, Krejcik Gambit",B02,5539,2.682492484456593e-05,0.10669795992056327,0.08304748149485466,white,0.10669795992056327,0.46519524617996605,0.4868073878627968,0.021612141682830766,10.526179071145158
Alekhine Defense: Maróczy Variation,B02,185614,0.0008989134500991624,0.06598640188778863,0.07098602476106328,black,0.07098602476106328,0.46263137407551574,0.46074339097594913,-0.0018879830995666147,7.014323801654319
Alekhine Defense: Modern Variation,B04,6622,3.206980543793385e-05,0.08471760797342193,0.06191482935668982,white,0.08471760797342193,0.4916864608076009,0.5301047120418848,0.038418251234283884,10.34759561107107
"Alekhine Defense: Modern Variation, Alburt Variation",B04,16809,8.140461486049986e-05,0.05776667261586055,0.0593729549646023,black,0.0593729549646023,0.456297449873467,0.4543147208121827,-0.001982729061284272,9.416078592944867
"Alekhine Defense: Modern Variation, Alekhine Gambit",B04,5598,2.7110657028322817e-05,0.06538049303322616,0.08324401571989996,black,0.08324401571989996,0.5106382978723404,0.4272300469483568,-0.08340825092398357,10.515583659102862
