opening,month,share
Alekhine Defense,2019-01,0.0018316642377297788
Alekhine Defense,2019-02,0.00180669168965528
Alekhine Defense,2019-03,0.0018080430580593619
Alekhine Defense,2019-04,0.001761845728137229
Alekhine Defense,2019-05,0.0016977523799173765
Alekhine Defense,2019-06,0.001721031203799393
Alekhine Defense,2019-07,0.0017080069855619356
Alekhine Defense,2019-08,0.0016882625523070222
Alekhine Defense,2019-09,0.0016883371267015375
Alekhine Defense,2019-10,0.0017071065900447445
Alekhine Defense,2019-11,0.0017184354800566118
Alekhine Defense,2019-12,0.0017037329125736524
Alekhine Defense,2020-07,0.002253974650767799
Alekhine Defense,2020-08,0.002161896500250666
Alekhine Defense,2020-09,0.002250127742631555
Alekhine Defense,2020-10,0.0023008011697437172
Alekhine Defense,2020-11,0.002335749837516687
Alekhine Defense,2020-12,0.002362572352299623
Alekhine Defense,2021-01,0.0023841576691281557
Alekhine Defense,2021-02,0.002404231633383484
Alekhine Defense,2021-03,0.0023900070234878705
Alekhine Defense,2021-04,0.0023771029857716885
Alekhine Defense,2021-05,0.0023130064207138104
Alekhine Defense,2021-06,0.002257048892899863
Alekhine Defense,2021-07,0.0022421411230805306
Alekhine Defense,2021-08,0.0022242807864692013
Alekhine Defense,2021-09,0.0022439936997376113
Alekhine Defense,2021-10,0.0023384080659809995
Alekhine Defense,2021-11,0.0022738068114541827
Alekhine Defense,2021-12,0.002208760757796887
Alekhine Defense #2,2019-01,0.0004118714611911712
Alekhine Defense #2,2019-02,0.00042942140148854524
Alekhine Defense #2,2019-03,0.00041158654208915793
Alekhine Defense #2,2019-04,0.0004106314078958136
Alekhine Defense #2,2019-05,0.0004007709921014063
Alekhine Defense #2,2019-06,0.0004136024586660027
Alekhine Defense #2,2019-07,0.00042421395408018936
Alekhine Defense #2,2019-08,0.0004440468773833349
Alekhine Defense #2,2019-09,0.00045899973733178675
Alekhine Defense #2,2019-10,0.0004565096000140895
Alekhine Defense #2,2019-11,0.00043003880459218074
Alekhine Defense #2,2019-12,0.0004236183091242664
Alekhine Defense #3,2019-01,0.00011119011498373449
Alekhine Defense #3,2019-02,0.00010461510071804947
Alekhine Defense #3,2019-03,0.00010361278269681156
Alekhine Defense #3,2019-04,0.00010648587956574093
Alekhine Defense #3,2019-05,0.00010336244930364682
Alekhine Defense #3,2019-06,0.00010511927099973052
Alekhine Defense #3,2019-07,0.00010752074763072868
Alekhine Defense #3,2019-08,0.00011129886812841477
Alekhine Defense #3,2019-09,0.00011039017770197058
Alekhine Defense #3,2019-10,0.0001091934910733803
Alekhine Defense #3,2019-11,0.00011016747853948983
Alekhine Defense #3,2019-12,0.00010546533623640799
Alekhine Defense: Balogh Variation,2019-01,0.00012263801646954562
Alekhine Defense: Balogh Variation,2019-02,0.00011911414319157225
Alekhine Defense: Balogh Variation,2019-03,0.00012244592966934967
Alekhine Defense: Balogh Variation,2019-04,0.00010985327313196066
Alekhine Defense: Balogh Variation,2019-05,0.00011857701543946398
Alekhine Defense: Balogh Variation,2019-06,0.00012193085476841513
Alekhine Defense: Balogh Variation,2019-07,0.00011110085986079115
Alekhine Defense: Balogh Variation,2019-08,0.0001172715628061006
Alekhine Defense: Balogh Variation,2019-09,0.00012042046746735354
Alekhine Defense: Balogh Variation,2019-10,0.00011167987037675899
Alekhine Defense: Balogh Variation,2019-11,0.0001175154513276015
Alekhine Defense: Balogh Variation,2019-12,0.00011387027298284842
Alekhine Defense: Balogh Variation,2020-07,0.00011740897432947973
Alekhine Defense: Balogh Variation,2020-08,0.00011057472947776957
Alekhine Defense: Balogh Variation,2020-09,0.00011678648111027625
Alekhine Defense: Balogh Variation,2020-10,0.0001157616039077414
Alekhine Defense: Balogh Variation,2020-11,0.0001125948793947768
Alekhine Defense: Balogh Variation,2020-12,0.00010648716516530434
Alekhine Defense: Balogh Variation,2021-01,0.00010452907686858818
Alekhine Defense: Balogh Variation,2021-02,0.00010506471345653808
Alekhine Defense: Balogh Variation,2021-03,0.00010224131525460508
Alekhine Defense: Balogh Variation,2021-04,0.00010393059528190824
Alekhine Defense: Balogh Variation,2021-05,0.00010252961262931777
Alekhine Defense: Balogh Variation,2021-06,9.963669598078291e-05
Alekhine Defense: Balogh Variation,2021-07,9.903997764877817e-05
Alekhine Defense: Balogh Variation,2021-08,0.00010024756956819218
Alekhine Defense: Balogh Variation,2021-09,0.00010010212513642519
Alekhine Defense: Balogh Variation,2021-10,0.00010050729610365291
Alekhine Defense: Balogh Variation,2021-11,9.975876233110097e-05
Alekhine Defense: Balogh Variation,2021-12,9.911260206563699e-05
Alekhine Defense: Brooklyn Variation,2019-01,0.0002337016353042656
Alekhine Defense: Brooklyn Variation,2019-02,0.00020229286053967657
Alekhine Defense: Brooklyn Variation,2019-03,0.00020052120886618238
Alekhine Defense: Brooklyn Variation,2019-04,0.00020915961547161047
Alekhine Defense: Brooklyn Variation,2019-05,0.00021264167432677808
Alekhine Defense: Brooklyn Variation,2019-06,0.00022355031650775033
Alekhine Defense: Brooklyn Variation,2019-07,0.00022906849235957097
Alekhine Defense: Brooklyn Variation,2019-08,0.00020180816439796157
Alekhine Defense: Brooklyn Variation,2019-09,0.00020738763895584454
Alekhine Defense: Brooklyn Variation,2019-10,0.00021885317826614412
Alekhine Defense: Brooklyn Variation,2019-11,0.000223461754010091
Alekhine Defense: Brooklyn Variation,2019-12,0.00021757864504062197
Alekhine Defense: Brooklyn Variation,2020-07,0.00021135881961822364
Alekhine Defense: Brooklyn Variation,2020-08,0.00019763190951235587
Alekhine Defense: Brooklyn Variation,2020-09,0.0002088567176156592
Alekhine Defense: Brooklyn Variation,2020-10,0.00020420449803128119
Alekhine Defense: Brooklyn Variation,2020-11,0.00018678793463242015
Alekhine Defense: Brooklyn Variation,2020-12,0.00017310252965120154
Alekhine Defense: Brooklyn Variation,2021-01,0.00017839774601267398
Alekhine Defense: Brooklyn Variation,2021-02,0.00017187342873005036
Alekhine Defense: Brooklyn Variation,2021-03,0.00016898569744211298
Alekhine Defense: Brooklyn Variation,2021-04,0.00018788860981798695
Alekhine Defense: Brooklyn Variation,2021-05,0.0001849206107953106
Alekhine Defense: Brooklyn Variation,2021-06,0.0001906764713969505
Alekhine Defense: Brooklyn Variation,2021-07,0.00019292969414969074
Alekhine Defense: Brooklyn Variation,2021-08,0.0001961004794102905
Alekhine Defense: Brooklyn Variation,2021-09,0.00019879838848207458
Alekhine Defense: Brooklyn Variation,2021-10,0.00020310256247574812
Alekhine Defense: Brooklyn Variation,2021-11,0.00018640403564376248
Alekhine Defense: Brooklyn Variation,2021-12,0.0001889942356758119
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-01,2.2769306822607746e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-02,2.844309767533175e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-03,3.717870437944415e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-04,2.7320362895744985e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-05,3.079138384629666e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-06,2.124884193811437e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-07,2.934518221362682e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-08,3.330925877940174e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-09,2.7355335723771746e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-10,3.1079741292233484e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-11,2.292984416148322e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2019-12,2.7066745454638697e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2020-07,2.6349021748652543e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2020-08,3.1544497456724893e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2020-09,2.848450758787226e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2020-10,2.6861492884047624e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2020-11,2.793334591987275e-06
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2020-12,2.3194764793139695e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-01,8.728941700925945e-08
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-02,1.8570872904381453e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-03,2.537005341305337e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-04,1.7217742022266845e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-05,1.0554829383293984e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-06,3.6876871054650165e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-07,2.962539598329766e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-08,2.9148253285316445e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-09,3.0976615728958043e-07
"Alekhine Defense: Brooklyn Variation, Everglades Variation",2021-10,3.5590402302993244e-07
